"Variable","Correlation_with_M"
"lineNo",0.00044039786876813
"assgNo",0.000753983122392972
"prevFixDur",0.00326908106670764
"firstfixDur",-0.0169318526278814
"firstPassFixDur",-0.0178791498826813
"nextFixDur",-0.000813268956458347
"firstSaccLen",0.0088647074760594
"lastSaccLen",0.00248698662603502
"prevFixPos",-0.00034245491947111
"landingPos",0.0175060551751279
"leavingPos",-0.0049203959968778
"totalFixDur",-0.0306129600188388
"meanFixDur",-0.0198956323788812
"regressLen",-0.0152934154587317
"regressDur",0.0237050545506633
"pupilDiamMax",-0.0152348722588976
"pupilDiamLag",-0.00814047307274792
"timePrtctg",-0.0248738668132063
"titleNo",0.0186588727300704
"wordNo",0.00983463042053227
"label",-0.00569509351866555
