"Variable","Correlation_with_M"
"lineNo",-0.0159043573701768
"assgNo",-0.0154371564936491
"prevFixDur",0.0095388478013885
"firstfixDur",0.0381831917987501
"firstPassFixDur",0.046240333041291
"nextFixDur",0.026170816555203
"firstSaccLen",0.0148085467227282
"lastSaccLen",0.0173082537545686
"prevFixPos",0.0108740598056369
"landingPos",0.00966122480820461
"leavingPos",0.0138414098772432
"totalFixDur",0.0463066963257044
"meanFixDur",0.0480704774960532
"regressLen",0.00399114828823014
"regressDur",0.00722770660467114
"pupilDiamLag",0.123267767982787
"timePrtctg",0.0260339713288757
"titleNo",0.00483760345911537
"wordNo",0.00912761873582834
"label",-0.0144567758550741
