"Variable","Correlation_with_M"
"lineNo",0.00080013874328127
"assgNo",0.000558241656500538
"prevFixDur",0.00048860064912589
"firstfixDur",-0.0231773445878482
"firstPassFixDur",-0.0540809628437475
"nextFixDur",-0.0186665638719666
"firstSaccLen",-0.022617845542634
"lastSaccLen",0.177097856156772
"prevFixPos",-0.088648316624387
"landingPos",-0.0534908060928169
"leavingPos",-0.047916330885684
"totalFixDur",-0.047336635474775
"meanFixDur",-0.024694066008942
"regressLen",0.0194854262661183
"regressDur",-0.0202767847755619
"pupilDiamMax",-0.0365318974995032
"pupilDiamLag",-0.0252861708893629
"timePrtctg",-0.090664927002334
"titleNo",0.00632438180140601
"wordNo",0.469412045357852
"label",-0.0309788544650354
