"Variable","Correlation_with_M"
"lread",0.075701725529781
"lwrite",0.0350845946823435
"scall",0.365378486875637
"sread",0.250691819105303
"swrite",0.226123132681465
"fork",0.159790035750681
"exec",0.101644904486784
"rchar",0.117497259033906
"wchar",0.086699390730086
"pgout",0.0647491568129747
"ppgout",0.0705744558939618
"pgfree",0.0673236332058037
"pgscan",0.0509269136263038
"atch",0.0416575375643917
"pgin",0.0765292352482941
"ppgin",0.0718789563975165
"pflt",0.174068671119292
"vflt",0.191570351628029
"runqsz",0.0112275594270224
"freemem",-0.120757335550949
"freeswap",-0.10401728104676
"usr",-0.120634281947047
