"Variable","Correlation_with_M"
"lread",-0.0499419131835894
"lwrite",-0.0286180325917702
"scall",-0.121159156710896
"sread",-0.101973765032062
"swrite",-0.0939417200151431
"fork",-0.126777386590363
"exec",-0.0922134831666168
"rchar",-0.082658994995047
"wchar",-0.0567564180116036
"pgout",-0.0667646160512247
"ppgout",-0.0691715397204689
"pgfree",-0.0647543165128755
"pgscan",-0.0573787180506521
"atch",-0.0247408539703017
"pgin",-0.0812750330677394
"ppgin",-0.0779320209450998
"pflt",-0.133386962593895
"vflt",-0.142288735358959
"runqsz",-0.0463584201669442
"freemem",0.0691863048205114
"freeswap",0.0981922414077215
